parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
conversion_ratio,0.04748566233859599,0.5011872336272725,4.877066007317569,2.589726764853324e-06,0.0016092628016745195,training_rmse_nm_s,mse
conversion_ratio,0.05978090701393575,0.6309573444801936,3.9083445312855747,1.7505006049661157e-06,0.001323064852895018,training_rmse_nm_s,mse
conversion_ratio,0.0752597029799479,0.7943282347242822,3.138723096198403,1.0713521229297053e-06,0.0010350614102214927,training_rmse_nm_s,mse
conversion_ratio,0.09474635256553754,1.0,2.527220428930998,7.844918108091601e-07,0.0008857154231519061,training_rmse_nm_s,mse
conversion_ratio,0.11927859091956472,1.2589254117941675,2.0412777547860097,1.2673262417341994e-06,0.001125755853519847,training_rmse_nm_s,mse
conversion_ratio,0.15016284919164105,1.584893192461114,1.6550259905476086,3.1078840408748877e-06,0.0017629191816061472,training_rmse_nm_s,mse
conversion_ratio,0.1890438267547722,1.9952623149688808,1.3479096650299163,7.187305701087181e-06,0.0026809150865119134,training_rmse_nm_s,mse
conversion_ratio,0.23799207744439685,2.5118864315095824,1.1035944389851804,1.477445093453824e-05,0.003843754796359705,training_rmse_nm_s,mse
conversion_ratio,0.2996142741004364,3.1622776601683795,0.9091001934765862,2.7618322008190114e-05,0.005255313692653381,training_rmse_nm_s,mse
conversion_ratio,0.3771920234013024,3.981071705534973,0.7541136060576763,4.801028573865451e-05,0.0069289454997607325,training_rmse_nm_s,mse
conversion_ratio,0.4748566233859599,5.011872336272725,0.6304435340693825,7.877242161313584e-05,0.008875382899522468,training_rmse_nm_s,mse
conversion_ratio,0.5978090701393575,6.309573444801936,0.5315898416785529,0.00012311784961876462,0.01109584830550439,training_rmse_nm_s,mse
conversion_ratio,0.752597029799479,7.943282347242821,0.45240194143800083,0.00018433589672296795,0.013577035638274209,training_rmse_nm_s,mse
conversion_ratio,0.9474635256553754,10.0,0.3888076743126252,0.0002652925879716029,0.016287804884993033,training_rmse_nm_s,mse
conversion_ratio,1.1927859091956485,12.589254117941687,0.3375966755447165,0.0003678079934283236,0.019178320923071538,training_rmse_nm_s,mse
conversion_ratio,1.5016284919164107,15.848931924611142,0.2962455272419776,0.0004920555296213558,0.02218232471183658,training_rmse_nm_s,mse
conversion_ratio,1.89043826754772,19.952623149688787,0.2627750898761009,0.0006361785415568666,0.025222579994062196,training_rmse_nm_s,mse
conversion_ratio,2.3799207744439683,25.11886431509582,0.23563339860839394,0.0007962896892436455,0.028218605373824653,training_rmse_nm_s,mse
conversion_ratio,2.996142741004364,31.622776601683793,0.21360001608648646,0.0009669015029243349,0.03109503984439214,training_rmse_nm_s,mse
conversion_ratio,3.7719202340130282,39.81071705534978,0.19570929345186117,0.0011416834080036867,0.033788805957057536,training_rmse_nm_s,mse
conversion_ratio,4.7485662338595995,50.11872336272725,0.1811904794410783,0.0013143320565255443,0.03625371783039009,training_rmse_nm_s,mse
conversion_ratio,5.9780907013935805,63.09573444801943,0.16942237939588045,0.0014793296204835995,0.03846205429359695,training_rmse_nm_s,mse
conversion_ratio,7.52597029799479,79.43282347242821,0.15989987371753858,0.0016324392347490321,0.04040345572780912,training_rmse_nm_s,mse
conversion_ratio,9.474635256553753,100.0,0.15220948563223163,0.0017708953552603678,0.04208200750036015,training_rmse_nm_s,mse
conversion_ratio,11.927859091956485,125.89254117941688,0.1460114494994304,0.0018933362504979226,0.04351248384656894,training_rmse_nm_s,mse
conversion_ratio,15.016284919164105,158.48931924611142,0.14102624503450514,0.0019995705574648035,0.044716557978726444,training_rmse_nm_s,mse
conversion_ratio,18.904382675477237,199.5262314968883,0.13702413869374372,0.0020902725990889293,0.04571949911240202,training_rmse_nm_s,mse
conversion_ratio,23.799207744439684,251.18864315095823,0.1338167737809391,0.002166679007679403,0.04654759937611609,training_rmse_nm_s,mse
