equation_family,model_id,role_A,role_I,role_B,optimizer,loss,trial,objective,best_objective,best_error,best_error_name
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,44,0.0027707694239039087,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,45,0.00277081582904346,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,46,0.002503901931409514,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,47,0.002503913378945971,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,48,0.0025942376550919413,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,49,0.002770769499806993,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,50,0.0027708158667479623,2.3554027887750003e-05,0.004853249209318434,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,51,8.004154583002957e-06,8.004154583002957e-06,0.0028291614628725165,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,52,8.004007964344873e-06,8.004007964344873e-06,0.0028291355507194904,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,53,8.945583036165713e-06,8.004007964344873e-06,0.0028291355507194904,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,54,2.4700375463149436e-05,8.004007964344873e-06,0.0028291355507194904,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,55,2.4708428059171217e-05,8.004007964344873e-06,0.0028291355507194904,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,56,7.984657746999057e-06,7.984657746999057e-06,0.002825713670384715,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,57,7.98451061955517e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
